Date	Open Balances
8/2/2023	2,907
9/2/2023	2,746
10/2/2023	2,830
11/2/2023	3,049
12/2/2023	3,357
13/2/2023	3,394
14/2/2023	3,340
15/2/2023	3,565
16/2/2023	3,488
17/2/2023	3,391
18/2/2023	3,348
19/2/2023	3,626
20/2/2023	3,786
21/2/2023	3,624
22/2/2023	3,596
23/2/2023	3,505
24/2/2023	3,153
25/2/2023	3,155
26/2/2023	3,356
27/2/2023	3,291
28/2/2023	2,884
1/3/2023	3,130
2/3/2023	3,094
3/3/2023	3,140
4/3/2023	3,040
5/3/2023	3,235
6/3/2023	3,351
7/3/2023	3,228
8/3/2023	3,218
9/3/2023	3,484
10/3/2023	3,463
11/3/2023	3,533
12/3/2023	3,791
13/3/2023	3,834
14/3/2023	3,719
15/3/2023	3,425
16/3/2023	3,202
17/3/2023	3,205
18/3/2023	3,097
19/3/2023	3,288
20/3/2023	3,394
21/3/2023	3,420
22/3/2023	3,312
23/3/2023	3,168
24/3/2023	3,115
25/3/2023	3,288
26/3/2023	3,477
27/3/2023	3,260
28/3/2023	3,246
29/3/2023	3,220
30/3/2023	3,086
31/3/2023	2,703
1/4/2023	2,761
2/4/2023	2,977
3/4/2023	2,993
4/4/2023	3,140
5/4/2023	2,992
6/4/2023	3,117
7/4/2023	3,191
8/4/2023	3,419
9/4/2023	3,589
10/4/2023	3,692
11/4/2023	3,637
12/4/2023	3,191
13/4/2023	3,021
14/4/2023	2,870
15/4/2023	2,772
16/4/2023	3,003
17/4/2023	3,137
18/4/2023	3,039
19/4/2023	2,903
20/4/2023	2,711
21/4/2023	2,480
22/4/2023	2,386
23/4/2023	2,542
24/4/2023	2,603
25/4/2023	2,532
26/4/2023	2,479
27/4/2023	2,457
28/4/2023	2,341
29/4/2023	2,314
30/4/2023	2,500
1/5/2023	2,484
2/5/2023	2,700
3/5/2023	2,698
4/5/2023	2,464
5/5/2023	2,516
6/5/2023	2,568
7/5/2023	2,754
8/5/2023	2,831
9/5/2023	2,736
10/5/2023	2,688
11/5/2023	2,481
12/5/2023	2,332
13/5/2023	2,252
14/5/2023	2,457
15/5/2023	2,494
16/5/2023	2,345
17/5/2023	2,107
18/5/2023	1,923
19/5/2023	1,795
20/5/2023	1,855
21/5/2023	2,065
22/5/2023	2,280
23/5/2023	2,250
24/5/2023	2,105
25/5/2023	2,131
26/5/2023	2,007
27/5/2023	1,992
28/5/2023	2,189
29/5/2023	2,277
30/5/2023	2,230
31/5/2023	2,052
1/6/2023	1,995
2/6/2023	2,051
3/6/2023	2,293
4/6/2023	2,494
5/6/2023	2,615
6/6/2023	2,601
7/6/2023	2,713
8/6/2023	2,675
9/6/2023	2,577
10/6/2023	2,406
11/6/2023	2,627
12/6/2023	2,666
13/6/2023	2,511
14/6/2023	2,355
15/6/2023	2,180
16/6/2023	2,109
17/6/2023	2,112
18/6/2023	2,315
19/6/2023	2,376
20/6/2023	2,376
21/6/2023	2,266
22/6/2023	2,137
23/6/2023	2,083
24/6/2023	2,025
25/6/2023	2,258
26/6/2023	2,249
27/6/2023	2,165
28/6/2023	2,105
29/6/2023	2,085
30/6/2023	2,186
1/7/2023	2,185
2/7/2023	2,373
3/7/2023	2,391
4/7/2023	2,423
5/7/2023	2,423
6/7/2023	2,455
7/7/2023	2,481
8/7/2023	2,563
9/7/2023	2,788
10/7/2023	2,887
11/7/2023	2,852
12/7/2023	2,766
13/7/2023	2,647
14/7/2023	2,555
15/7/2023	2,467
16/7/2023	2,701
17/7/2023	2,735
18/7/2023	2,571
19/7/2023	2,372
20/7/2023	2,196
21/7/2023	2,022
22/7/2023	1,970
23/7/2023	2,165
24/7/2023	2,269
25/7/2023	2,107
26/7/2023	2,017
27/7/2023	1,951
28/7/2023	1,855
29/7/2023	1,920
30/7/2023	2,113
31/7/2023	2,191
1/8/2023	2,158
2/8/2023	2,088
3/8/2023	1,964
4/8/2023	1,837
5/8/2023	1,754
6/8/2023	1,937
7/8/2023	2,028
8/8/2023	1,835
9/8/2023	1,872
10/8/2023	2,034
11/8/2023	1,996
12/8/2023	2,056
13/8/2023	2,246
14/8/2023	2,315
15/8/2023	2,182
16/8/2023	2,025
17/8/2023	1,869
18/8/2023	1,808
19/8/2023	1,750
20/8/2023	1,919
21/8/2023	2,051
22/8/2023	2,024
23/8/2023	1,912
24/8/2023	1,847
25/8/2023	1,834
26/8/2023	1,796
27/8/2023	1,972
28/8/2023	1,992
29/8/2023	1,887
30/8/2023	1,791
31/8/2023	1,647
1/9/2023	1,572
2/9/2023	1,714
3/9/2023	1,856
4/9/2023	1,868
5/9/2023	1,908
6/9/2023	1,768
7/9/2023	1,692
8/9/2023	1,723
9/9/2023	1,742
10/9/2023	1,926
11/9/2023	1,977
12/9/2023	1,775
13/9/2023	1,719
14/9/2023	1,579
15/9/2023	1,389
16/9/2023	1,306
17/9/2023	1,475
18/9/2023	1,733
19/9/2023	1,595
20/9/2023	1,540
21/9/2023	1,553
22/9/2023	1,577
23/9/2023	1,072
24/9/2023	1,228
25/9/2023	1,783
26/9/2023	1,718
27/9/2023	1,626
28/9/2023	1,507
29/9/2023	1,390
30/9/2023	1,384
1/10/2023	1,559
2/10/2023	1,532
3/10/2023	1,413
4/10/2023	1,342
5/10/2023	1,219
6/10/2023	1,169
7/10/2023	1,209
8/10/2023	1,379
9/10/2023	1,458
10/10/2023	1,477
11/10/2023	1,184
12/10/2023	1,327
13/10/2023	1,251
14/10/2023	1,292
15/10/2023	1,497
16/10/2023	1,616
17/10/2023	1,413
18/10/2023	1,350
19/10/2023	1,304
20/10/2023	1,300
21/10/2023	1,408
22/10/2023	1,563
23/10/2023	1,742
24/10/2023	1,544
25/10/2023	1,332
26/10/2023	1,361
27/10/2023	1,325
28/10/2023	1,293
29/10/2023	1,491
30/10/2023	1,638
31/10/2023	1,454
1/11/2023	1,280
2/11/2023	1,169
3/11/2023	1,154
4/11/2023	1,208
5/11/2023	1,363
6/11/2023	1,400
7/11/2023	1,386
8/11/2023	1,370
9/11/2023	1,307
10/11/2023	1,118
11/11/2023	1,122
12/11/2023	1,270
13/11/2023	1,431
14/11/2023	1,617
15/11/2023	1,525
16/11/2023	1,650
17/11/2023	1,677
18/11/2023	1,772
19/11/2023	1,985
20/11/2023	2,150
21/11/2023	2,033
22/11/2023	1,912
23/11/2023	1,761
24/11/2023	1,642
25/11/2023	1,676
26/11/2023	1,860
27/11/2023	1,957
28/11/2023	1,835
29/11/2023	1,747
30/11/2023	1,665
1/12/2023	1,539
2/12/2023	1,577
3/12/2023	1,842
4/12/2023	2,001
5/12/2023	1,864
6/12/2023	1,744
7/12/2023	1,589
8/12/2023	1,471
9/12/2023	1,503
10/12/2023	1,728
11/12/2023	1,818
12/12/2023	1,746
13/12/2023	1,683
14/12/2023	1,642
15/12/2023	1,553
16/12/2023	1,518
17/12/2023	1,784
18/12/2023	1,875
19/12/2023	1,961
20/12/2023	1,855
21/12/2023	1,783
22/12/2023	1,751
23/12/2023	1,751
24/12/2023	1,896
25/12/2023	1,910
26/12/2023	2,059
27/12/2023	1,851
28/12/2023	1,831
29/12/2023	1,780
30/12/2023	1,755
31/12/2023	1,987
1/1/2024	2,173
2/1/2024	2,524
3/1/2024	2,619
4/1/2024	2,599
5/1/2024	2,602
6/1/2024	2,668
7/1/2024	2,899
8/1/2024	3,048
9/1/2024	2,700
10/1/2024	2,475
11/1/2024	2,299
12/1/2024	2,050
13/1/2024	2,048
14/1/2024	2,308
15/1/2024	2,470
16/1/2024	2,286
17/1/2024	2,158
18/1/2024	1,980
19/1/2024	1,797
20/1/2024	1,802
21/1/2024	2,026
22/1/2024	2,153
23/1/2024	2,002
24/1/2024	1,790
25/1/2024	1,771
26/1/2024	1,666
27/1/2024	1,713
28/1/2024	1,973
29/1/2024	2,106
30/1/2024	1,966
31/1/2024	1,899
1/2/2024	1,752
2/2/2024	1,550
3/2/2024	1,567
4/2/2024	1,746
5/2/2024	1,809
6/2/2024	1,807
7/2/2024	1,676
8/2/2024	1,521
9/2/2024	1,284
10/2/2024	1,284
11/2/2024	1,284
12/2/2024	1,284
13/2/2024	1,604
14/2/2024	1,334
15/2/2024	1,329
16/2/2024	1,379
17/2/2024	1,379
18/2/2024	1,379
19/2/2024	2,023
20/2/2024	2,199
21/2/2024	2,184
22/2/2024	2,242
23/2/2024	2,106
24/2/2024	2,106
25/2/2024	2,106
26/2/2024	2,622
27/2/2024	2,638
28/2/2024	2,597
29/2/2024	2,404
1/3/2024	2,418
2/3/2024	2,418
3/3/2024	2,418
4/3/2024	2,782
5/3/2024	2,848
6/3/2024	2,744
7/3/2024	2,844
8/3/2024	2,778
9/3/2024	2,778
10/3/2024	2,778
11/3/2024	3,020
12/3/2024	2,930
13/3/2024	2,821
14/3/2024	2,584
15/3/2024	2,298
16/3/2024	2,486
17/3/2024	2,714
18/3/2024	2,950
19/3/2024	2,786
20/3/2024	2,737
21/3/2024	2,521
22/3/2024	2,499
23/3/2024	2,499
24/3/2024	2,499
25/3/2024	2,737
26/3/2024	2,508
27/3/2024	2,242
28/3/2024	2,267
29/3/2024	2,267
30/3/2024	2,267
31/3/2024	2,267
1/4/2024	2,580
2/4/2024	2,351
3/4/2024	2,463
4/4/2024	2,213
5/4/2024	2,349
6/4/2024	2,349
7/4/2024	2,349
8/4/2024	2,318
9/4/2024	2,186
10/4/2024	2,186
11/4/2024	2,224
12/4/2024	2,044
13/4/2024	2,044
14/4/2024	2,044
15/4/2024	2,431
16/4/2024	2,291
17/4/2024	2,211
18/4/2024	2,048
19/4/2024	1,927
20/4/2024	1,927
21/4/2024	1,927
22/4/2024	2,163
23/4/2024	2,039
24/4/2024	1,929
25/4/2024	1,813
26/4/2024	1,725
27/4/2024	1,742
28/4/2024	1,941
29/4/2024	2,016
30/4/2024	1,861
1/5/2024	1,891
2/5/2024	2,099
3/5/2024	2,070
4/5/2024	2,056
5/5/2024	2,229
6/5/2024	2,258
7/5/2024	2,164
8/5/2024	2,243
9/5/2024	2,185
10/5/2024	1,980
11/5/2024	1,914
12/5/2024	2,101
13/5/2024	2,141
14/5/2024	1,948
15/5/2024	1,861
16/5/2024	1,951
17/5/2024	1,831
18/5/2024	1,752
19/5/2024	1,910
20/5/2024	1,959
21/5/2024	1,681
22/5/2024	1,680
23/5/2024	1,847
24/5/2024	1,696
25/5/2024	1,621
26/5/2024	1,759
27/5/2024	1,781
28/5/2024	1,717
29/5/2024	1,742
30/5/2024	1,712
31/5/2024	1,835
1/6/2024	1,819
2/6/2024	2,062
3/6/2024	2,161
4/6/2024	2,278
5/6/2024	2,120
6/6/2024	2,123
7/6/2024	2,129
8/6/2024	2,117
9/6/2024	2,335
10/6/2024	2,468
11/6/2024	2,373
12/6/2024	2,207
13/6/2024	2,168
14/6/2024	2,038
15/6/2024	2,053
16/6/2024	2,236
17/6/2024	2,402
18/6/2024	2,564
19/6/2024	2,436
20/6/2024	2,427
21/6/2024	2,232
22/6/2024	2,209
23/6/2024	2,209
24/6/2024	2,521
25/6/2024	2,273
26/6/2024	2,231
27/6/2024	2,229
28/6/2024	2,151
29/6/2024	2,107
30/6/2024	2,124
1/7/2024	2,320
2/7/2024	2,487
3/7/2024	2,403
4/7/2024	2,335
5/7/2024	2,454
6/7/2024	2,559
7/7/2024	2,742
8/7/2024	2,667
9/7/2024	2,787
10/7/2024	2,871
11/7/2024	2,754
12/7/2024	2,836
13/7/2024	2,900
14/7/2024	3,018
15/7/2024	2,994
16/7/2024	3,076
17/7/2024	3,026
18/7/2024	3,284
19/7/2024	3,088
20/7/2024	3,119
21/7/2024	3,290
22/7/2024	3,077
23/7/2024	3,120
24/7/2024	2,857
25/7/2024	2,822
26/7/2024	2,817
27/7/2024	2,858
28/7/2024	3,029
29/7/2024	2,907
30/7/2024	2,900
31/7/2024	2,887
1/8/2024	2,664
2/8/2024	2,598
3/8/2024	2,583
4/8/2024	2,587
5/8/2024	2,439
6/8/2024	2,342
7/8/2024	2,320
8/8/2024	2,226
9/8/2024	2,339
10/8/2024	2,486
11/8/2024	2,632
12/8/2024	2,619
