		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
12/7/2025											1,004	4		126				2024 Jul:		2025 mid-Jun to mid-Jul:		1,004		0		
13/7/2025											1,126	0		115				314 cases closed/wd		238 cases closed/wd		1,126		0		
14/7/2025											1,107	239		342				471 new cases/wd		283 new cases/wd		1,241		134		
15/7/2025											1,144	212		312				166 new cases/nwd		128 new cases/nwd		1,210		66		
16/7/2025											1,086	215		444								1,244		158		
17/7/2025											1,236	302		331				2024 Aug:		Ops Home Base Incident (Healthcare, SSS)		1,315		79		
18/7/2025											1,001	285		233				311 cases closed/wd		5% - no vol data yet		1,265		264		
19/7/2025											950	0		106				394 new cases/wd		297.15		949		-1		
20/7/2025											1,056	11		100	1,315			157 new cases/nwd		134.4		1,056		0		
21/7/2025											967	237		315								1,145		178		
22/7/2025											936	222		255								1,045		109		
23/7/2025											853	264		243								969		116		
24/7/2025											744	230		220								832		88		
25/7/2025											691	201		240								734		43		
26/7/2025											730	0		119								730		0		
27/7/2025											849	0		108								849		0		
28/7/2025											892	228		256								957		65		
29/7/2025											805	235		281								920		115		
30/7/2025											764	215		247								851		87		
31/7/2025											699	251		172								796		97		
1/8/2025											700	227		237								620		-80		
2/8/2025											710	0		129								710		0		
3/8/2025											839	0		137								839		0		
4/8/2025											932	188		280								976		44		
5/8/2025											883	234		278								1,024		141		
6/8/2025											854	277		257								927		73		
7/8/2025											735	211		265								834		99		
8/8/2025											699	250		206								789		90		
9/8/2025											655	11		132								655		0		
10/8/2025											776	2		154								776		0		
11/8/2025											805	212		222								928		123		
12/8/2025											900	226		261								815		-85		
13/8/2025											753	244		245								935		182		
14/8/2025											705	205		297								754		49		
15/8/2025											748	206		220				Aug - Sep 25 Forecast: Using past 1 month's figures				797		49		
16/8/2025											762	0		158								762		0		
17/8/2025											920	0		130				2024 Aug:		2025 mid-Jul to mid-Aug:		920		0		
18/8/2025											943	233	75	266				311 cases closed/wd		233 cases closed/wd						
19/8/2025											901	233	75	266				394 new cases/wd		266 new cases/wd						
20/8/2025											859	233	75	293				157 new cases/nwd		127 new cases/nwd						
21/8/2025											844	233	75	293												
22/8/2025											829	233	75	293				2024 Sep:		MRSS						
23/8/2025											814			140				295 cases closed/wd		292.6						
24/8/2025											954			140				366 new cases/wd		139.7						
25/8/2025											1,094	233	75	293				164 new cases/nwd								
26/8/2025											1,079	233	75	293						284.62						
27/8/2025											1,064	233	75	285						135.89						
28/8/2025											1,041	233	75	285												
29/8/2025											1,018	233	75	285						279.3						
30/8/2025											995			136						133.35						
31/8/2025											1,131			136												
1/9/2025											1,267	233	75	285												
2/9/2025											1,244	233	75	285												
3/9/2025											1,221	233	75	279												
4/9/2025											1,192	233	75	279												
5/9/2025											1,163	233	75	279												
6/9/2025											1,134			133												
7/9/2025											1,267			133												
8/9/2025											1,400															
9/9/2025											1,400															
10/9/2025											1,400															
11/9/2025											1,400															
12/9/2025											1,400															
13/9/2025											1,400															
14/9/2025											1,400															
15/9/2025											1,400															
16/9/2025											1,400															
17/9/2025											1,400															
18/9/2025											1,400															
19/9/2025											1,400															
20/9/2025											1,400															
21/9/2025											1,400															
22/9/2025											1,400															
23/9/2025											1,400															
24/9/2025											1,400															
25/9/2025											1,400															
26/9/2025											1,400															
27/9/2025											1,400															
28/9/2025											1,400															
29/9/2025											1,400															
30/9/2025											1,400															
1/10/2025											1,400															
2/10/2025											1,400															
3/10/2025											1,400															
4/10/2025											1,400															
5/10/2025											1,400															
6/10/2025											1,400															
7/10/2025											1,400															
8/10/2025											1,400															
9/10/2025											1,400															
10/10/2025											1,400															
11/10/2025											1,400															
12/10/2025											1,400															
13/10/2025											1,400															
14/10/2025											1,400															
15/10/2025											1,400															
16/10/2025											1,400															
17/10/2025											1,400															
18/10/2025											1,400															
19/10/2025											1,400															
20/10/2025											1,400															
21/10/2025											1,400															
22/10/2025											1,400															
23/10/2025											1,400															
24/10/2025											1,400															
25/10/2025											1,400															
26/10/2025											1,400															
27/10/2025											1,400															
28/10/2025											1,400															
29/10/2025											1,400															
30/10/2025											1,400															
31/10/2025											1,400															
1/11/2025											1,400															
2/11/2025											1,400															
3/11/2025											1,400															
4/11/2025											1,400															
5/11/2025											1,400															
6/11/2025											1,400															
7/11/2025											1,400															
8/11/2025											1,400															
9/11/2025											1,400															
10/11/2025											1,400															
11/11/2025											1,400															
12/11/2025											1,400															
13/11/2025											1,400															
14/11/2025											1,400															
15/11/2025											1,400															
16/11/2025											1,400															
17/11/2025											1,400															
18/11/2025											1,400															
19/11/2025											1,400															
20/11/2025											1,400															
21/11/2025											1,400															
22/11/2025											1,400															
23/11/2025											1,400															
24/11/2025											1,400															
25/11/2025											1,400															
26/11/2025											1,400															
27/11/2025											1,400															
28/11/2025											1,400															
29/11/2025											1,400															
30/11/2025											1,400															
1/12/2025											1,400															
2/12/2025											1,400															
3/12/2025											1,400															
4/12/2025											1,400															
5/12/2025											1,400															
6/12/2025											1,400															
7/12/2025											1,400															
8/12/2025											1,400															
9/12/2025											1,400															
10/12/2025											1,400															
11/12/2025											1,400															
12/12/2025											1,400															
13/12/2025											1,400															
14/12/2025											1,400															
15/12/2025											1,400															
16/12/2025											1,400															
17/12/2025											1,400															
18/12/2025											1,400															
19/12/2025											1,400															
20/12/2025											1,400															
21/12/2025											1,400															
22/12/2025											1,400															
23/12/2025											1,400															
24/12/2025											1,400															
25/12/2025											1,400															
26/12/2025											1,400															
27/12/2025											1,400															
28/12/2025											1,400															
29/12/2025											1,400															
30/12/2025											1,400															
31/12/2025											1,400															
1/1/2026											1,400															
2/1/2026											1,400				2026											
3/1/2026											1,400															
