		Forecast					V1					V2					10322	8670	1652							
Date	Open Balances	Closed	Avg discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Open Balances	Closed	Discrep	New Cases		Forecasted		14	7							
10/10/2022											2,694	452	122	459												
11/10/2022											2,579	431	111	518												
12/10/2022											2,555	405	104	461												
13/10/2022											2,507	423	150	472												
14/10/2022											2,406	430	142	450												
15/10/2022											2,284	22		198												
16/10/2022											2,460	0		169												
17/10/2022											2,629	441	74	516												
18/10/2022											2,630	475	95	511												
19/10/2022											2,571	448	141	502												
20/10/2022											2,484	403	131	490												
21/10/2022											2,440	428	342	485												
22/10/2022											2,155	0		164												
23/10/2022											2,319	0		154												
24/10/2022											2,473	0	-164	202												
25/10/2022											2,839	376	97	459												
26/10/2022											2,825	361	99	448												
27/10/2022											2,813	402	82	511												
28/10/2022											2,840	386	179	451												
29/10/2022											2,726	3		209												
30/10/2022											2,932	0	24	173												
31/10/2022											3,081	474	121	491												
1/11/2022											2,977	434	87	502			13 headcount									
2/11/2022											2,958	425	160	493			4 TLs									
3/11/2022											2,866	393	174	502			1 CCT									
4/11/2022											2,801	456		464			Total: 18									
5/11/2022											2,809			186												
6/11/2022											2,995	10	46	158												
7/11/2022											3,097	458	60	508												
8/11/2022											3,087	398	187	523												
9/11/2022											3,025	454	174	508												
10/11/2022											2,905	442	147	517												
11/11/2022											2,833	447		422												
12/11/2022											2,808	1		182												
13/11/2022											2,989	6	224	161												
14/11/2022											2,920	403	39	535												
15/11/2022											3,013	417	126	602												
16/11/2022											3,072	454	78	593												
17/11/2022											3,133	456	-88	448												
18/11/2022											3,037	465		455												
19/11/2022											3,027	17		181												
20/11/2022											3,191	42	-99	178												
21/11/2022											3,228	471	-152	521												
22/11/2022											3,126	529	-144	511												
23/11/2022											2,964	508	-182	537												
24/11/2022											2,811	409	-139	477												
25/11/2022											2,740	411		457												
26/11/2022											2,786	43		175												
27/11/2022											2,918	0	-95	194												
28/11/2022											3,017	488	100	516												
29/11/2022											2,901	389	100	554												
30/11/2022											2,825	452	100	483												
1/12/2022											2,819	475	100	520												
2/12/2022											2,713	457	100	543												
3/12/2022											2,799	26		192												
4/12/2022											2,965	7		206												
5/12/2022											3,060	435	100	610												
6/12/2022											3,145	450	100	532												
7/12/2022											3,038	410	100	480												
8/12/2022											2,921	469	100	515												
9/12/2022											2,972	493	100	455												
10/12/2022											2,934	19		197												
11/12/2022											3,112	0		219												
12/12/2022											3,021	486	100	528												
13/12/2022											3,181	538	100	503												
14/12/2022											3,085	498	100	513												
15/12/2022											2,956	467	100	482												
16/12/2022											2,851	518	100	535												
17/12/2022											2,624	59		234												
18/12/2022											2,799	22		193												
19/12/2022											2,970	511	100	473												
20/12/2022											2,955	508	100	550												
21/12/2022											2,862	421	100	534												
22/12/2022											2,772	470	100	535												
23/12/2022											2,807	504	100	444												
24/12/2022											2,747	0		178												
25/12/2022											2,925	0		110												
26/12/2022											3,035	2		182												
27/12/2022											3,215	520	100	625												
28/12/2022											3,055	498	100	558												
29/12/2022											2,965	435	100	585												
30/12/2022											2,945	356	100	545												
31/12/2022											3,134	20	100	201												
1/1/2023											3,315	5	100	345	2023	708										
2/1/2023											3,655	14		588		315										
3/1/2023											4,229	501	100	867		708										
4/1/2023											4,348	526	100	819		708										
5/1/2023											4,621	531	100	778		708										
6/1/2023											4,762	527	100	686		708										
7/1/2023											4,921	389		289		315										
8/1/2023											4,821	301		258		315										
9/1/2023											4,466	654	100	662		708										
10/1/2023											4,422	854	100	655		708										
11/1/2023											3,959	733	100	698		708										
12/1/2023											3,803	671	100	661		708										
13/1/2023											3,745	567	100	536		708										
14/1/2023											3,714	333		289		315										
15/1/2023											3,670	189		219		315										
16/1/2023											3,202	495	100	588		708										
17/1/2023											3,204	635	100	573		708										
18/1/2023											3,120	588	100	539		708										
19/1/2023											2,659	569	100	543		708										
20/1/2023											2,775	330	100	587		708										
21/1/2023											2,482	179		20		315										
22/1/2023											2,641	94		0		315										
23/1/2023											2,735	165		11		315										
24/1/2023											2,889	211		5		315										
25/1/2023											3,095	508	100	539		708										
26/1/2023											2,962	571	100	558		708										
27/1/2023											2,946	500	100	597		708										
28/1/2023											3,038	4		243		315										
29/1/2023											3,281	1		196		315										
30/1/2023											3,477	644	100	682		708										
31/1/2023											3,477	685	100	631		708										
1/2/2023											3,054	573	100	727		614										
2/2/2023											3,282	574	100	672		614										
3/2/2023											2,857	573	100	523		614										
4/2/2023											2,807	0		242		256										
5/2/2023											3,049	0		209		256										
6/2/2023											3,145	617	100	601		614										
7/2/2023											2,948	592	100	599		614										
8/2/2023											2,907	515	100	509		614										
9/2/2023											2,746	589	100	838		614										
10/2/2023											2,830	634	100	853		614										
11/2/2023											3,049	0		308		256										
12/2/2023											3,357	0		365		256										
13/2/2023											3,394	588	100	719		614										
14/2/2023											3,340	642	100	694		614										
15/2/2023											3,565	681	100	726		614										
16/2/2023											3,488	674	100	736		614										
17/2/2023											3,391	663	100	620		614										
18/2/2023											3,348	2		280		256										
19/2/2023											3,626	7		275		256										
20/2/2023											3,786	568	100	590		614										
21/2/2023											3,624	593	100	655		614										
22/2/2023											3,596	507	100	523		614										
23/2/2023											3,505	552	100	509		614										
24/2/2023											3,153	494	100	496		614										
25/2/2023											3,155	18		219		256										
26/2/2023											3,356	27		222		256										
27/2/2023											3,291	502	100	552		614										
28/2/2023											2,884	493	100	576		614										
1/3/2023											3,130	419	100	508		633										
2/3/2023											3,094	439	100	569		633										
3/3/2023											3,140	571	100	471		633										
4/3/2023											3,040	27		222		256										
5/3/2023											3,235	8		238		256										
6/3/2023											3,351	561	100	590		633										
7/3/2023											3,228	562	100	672		633										
8/3/2023											3,218	390	100	767		633										
9/3/2023											3,484	711	100	810		633										
10/3/2023											3,463	629	100	699		633										
11/3/2023											3,533	12		270		256										
12/3/2023											3,791	6		255		256										
13/3/2023											3,834	611	100	610		633										
14/3/2023											3,719	655	100	657		633										
15/3/2023											3,425	664	100	574		633										
16/3/2023											3,202	525	100	611		633										
17/3/2023											3,205	628	100	520		633										
18/3/2023											3,097	27		218		256										
